6610
ego2_Nanoluc	ego2_Nanoluc	MissingGeneType
mCherry	mCherry	MissingGeneType
YAL069W	YAL069W	MissingGeneType
YAL068W-A	YAL068W-A	MissingGeneType
YAL068C	YAL068C	MissingGeneType
YAL067W-A	YAL067W-A	MissingGeneType
YAL067C	YAL067C	MissingGeneType
YAL066W	YAL066W	MissingGeneType
YAL065C	YAL065C	MissingGeneType
YAL064W-B	YAL064W-B	MissingGeneType
YAL064C-A	YAL064C-A	MissingGeneType
YAL064W	YAL064W	MissingGeneType
YAL063C-A	YAL063C-A	MissingGeneType
YAL063C	YAL063C	MissingGeneType
YAL062W	YAL062W	MissingGeneType
YAL061W	YAL061W	MissingGeneType
YAL060W	YAL060W	MissingGeneType
YAL059C-A	YAL059C-A	MissingGeneType
YAL059W	YAL059W	MissingGeneType
YAL058W	YAL058W	MissingGeneType
YAL056C-A	YAL056C-A	MissingGeneType
YAL056W	YAL056W	MissingGeneType
YAL055W	YAL055W	MissingGeneType
YAL054C	YAL054C	MissingGeneType
YAL053W	YAL053W	MissingGeneType
YAL051W	YAL051W	MissingGeneType
YAL049C	YAL049C	MissingGeneType
YAL048C	YAL048C	MissingGeneType
YAL047W-A	YAL047W-A	MissingGeneType
YAL047C	YAL047C	MissingGeneType
YAL046C	YAL046C	MissingGeneType
YAL045C	YAL045C	MissingGeneType
YAL044W-A	YAL044W-A	MissingGeneType
YAL044C	YAL044C	MissingGeneType
YAL043C	YAL043C	MissingGeneType
YAL042C-A	YAL042C-A	MissingGeneType
YAL042W	YAL042W	MissingGeneType
YAL041W	YAL041W	MissingGeneType
YAL040C	YAL040C	MissingGeneType
YAL039C	YAL039C	MissingGeneType
YAL038W	YAL038W	MissingGeneType
YAL037C-B	YAL037C-B	MissingGeneType
YAL037C-A	YAL037C-A	MissingGeneType
YAL037W	YAL037W	MissingGeneType
YAL036C	YAL036C	MissingGeneType
YAL035W	YAL035W	MissingGeneType
YAL034C-B	YAL034C-B	MissingGeneType
YAL034W-A	YAL034W-A	MissingGeneType
YAL034C	YAL034C	MissingGeneType
YAL033W	YAL033W	MissingGeneType
YAL032C	YAL032C	MissingGeneType
YAL031W-A	YAL031W-A	MissingGeneType
